date,year,month,company,operation,data_type,cathode_production_plan_t,cathode_production_actual_t,production_plan_attainment_pct,plant_availability_pct,plant_utilization_pct,pls_cu_grade_g_l,cu_recovery_pct,ew_current_efficiency_pct,acid_consumption_kg_t,power_consumption_kwh_t,unplanned_downtime_hours,trifr,lti,near_misses,revenue_per_tonne_mnt,revenue_mnt,unit_operating_cost_mnt_t,operating_cost_mnt,operating_margin_mnt
2021-11-01,2021,11,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,738.0,675.08,91.47,91.63,88.78,2.48,74.25,89.35,4.19,2314.74,26.11,2.59,0,4,24357009,16442884839,13872355,9364923827,7077961011
2021-12-01,2021,12,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,756.0,691.52,91.47,92.47,90.76,2.46,73.63,90.3,4.31,2301.44,13.92,2.42,0,2,24775414,17132776398,13823367,9559180078,7573596320
2022-01-01,2022,1,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,717.6,630.23,87.82,91.02,88.99,2.47,73.98,89.31,4.23,2392.9,27.67,2.23,0,3,25407811,16012649076,13671543,8616154196,7396494880
2022-02-01,2022,2,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,690.0,605.81,87.8,91.7,89.63,2.44,73.02,89.74,4.25,2377.18,24.68,2.05,0,3,25435469,15409129076,13777989,8346880123,7062248954
2022-03-01,2022,3,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,745.2,654.46,87.82,90.91,89.08,2.55,74.04,89.7,4.32,2371.14,22.97,2.06,0,2,25911464,16958002463,13902688,9098745460,7859257003
2022-04-01,2022,4,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,754.4,661.54,87.69,88.43,86.69,2.47,73.1,90.07,4.25,2319.68,45.92,2.22,0,4,25519728,16882443294,13879053,9181615373,7700827920
2022-05-01,2022,5,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,782.0,685.95,87.72,89.55,85.9,2.47,72.86,90.22,4.38,2370.93,42.71,2.43,0,4,25385052,17412920476,13884670,9524213439,7888707037
2022-06-01,2022,6,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,791.2,694.26,87.75,89.74,87.29,2.51,73.34,90.01,4.28,2337.41,41.56,2.51,0,5,26095909,18117451301,13997304,9717825012,8399626289
2022-07-01,2022,7,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,809.6,710.5,87.76,89.57,87.33,2.49,73.67,89.73,4.33,2317.94,38.44,2.26,0,4,26937683,19139149036,13708306,9739713237,9399435799
2022-08-01,2022,8,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,818.8,718.21,87.71,89.35,86.37,2.43,72.94,89.01,4.39,2347.08,40.31,2.32,1,3,25812117,18538493496,13997786,10053335290,8485158205
2022-09-01,2022,9,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,800.4,701.2,87.61,86.65,84.64,2.44,72.62,89.34,4.36,2343.6,58.57,2.39,0,5,27015988,18943719686,14452098,10133869640,8809850047
2022-10-01,2022,10,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,763.6,670.0,87.74,89.08,87.05,2.38,73.66,90.2,4.36,2329.44,37.23,2.43,0,4,26403037,17689948084,14029039,9399409845,8290538238
2022-11-01,2022,11,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,754.4,662.58,87.83,91.57,88.43,2.36,73.71,89.4,4.31,2387.01,17.06,2.07,0,5,25506849,16900420468,13775065,9127132613,7773287855
2022-12-01,2022,12,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,772.8,678.53,87.8,91.32,89.31,2.46,73.33,89.59,4.38,2376.16,18.53,2.22,0,5,25515852,17313287113,13517773,9172222850,8141064263
2023-01-01,2023,1,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,741.0,654.25,88.29,92.65,89.56,2.45,74.71,90.29,4.19,2290.28,7.7,2.31,0,4,30104826,19696198515,13627705,8915978389,10780220126
2023-02-01,2023,2,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,712.5,628.86,88.26,91.45,89.63,2.47,74.87,90.66,4.26,2344.36,18.93,1.99,0,2,28388313,17852138073,13860108,8716001064,9136137008
2023-03-01,2023,3,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,769.5,679.42,88.29,93.32,90.81,2.52,74.25,90.74,4.29,2348.11,11.15,2.31,1,5,28926374,19653014916,13766208,9352969296,10300045621
2023-04-01,2023,4,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,779.0,687.81,88.29,93.02,89.36,2.54,74.46,90.57,4.13,2344.41,14.16,1.98,0,3,30062586,20677214345,13514652,9295452911,11381761434
2023-05-01,2023,5,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,807.5,712.19,88.2,91.53,88.04,2.45,73.55,89.58,4.22,2365.74,27.34,2.01,0,2,30448585,21685059126,13719358,9770736124,11914323003
2023-06-01,2023,6,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,817.0,721.16,88.27,92.65,90.87,2.53,74.24,90.78,4.17,2286.4,11.98,2.23,0,1,28882962,20829317349,13633954,9832300728,10997016621
2023-07-01,2023,7,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,836.0,737.38,88.2,91.23,88.76,2.46,73.88,90.36,4.14,2352.87,24.64,2.23,0,2,29001518,21385012833,13492337,9948920571,11436092262
2023-08-01,2023,8,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,845.5,746.04,88.24,91.3,88.98,2.4,74.51,90.49,4.17,2306.88,22.49,2.07,0,0,28840689,21516431605,13522744,10088566047,11427865558
2023-09-01,2023,9,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,826.5,729.16,88.22,90.61,86.76,2.45,74.69,90.38,4.16,2326.1,23.13,2.01,0,1,29682878,21643544292,13754344,10029107034,11614437258
2023-10-01,2023,10,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,788.5,695.65,88.22,90.77,88.73,2.43,74.61,90.61,4.14,2288.42,28.04,2.19,0,3,28933418,20127415707,13910262,9676617696,10450798011
2023-11-01,2023,11,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,779.0,687.17,88.21,91.8,88.62,2.41,73.67,89.36,4.2,2343.23,23.78,1.91,0,1,28603267,19655288687,13768177,9461069371,10194219315
2023-12-01,2023,12,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,798.0,703.88,88.21,91.59,89.48,2.49,73.7,90.39,4.3,2294.96,20.41,1.96,0,4,30394205,21394004392,13726929,9662169983,11731834409
2024-01-01,2024,1,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,764.4,700.93,91.7,91.72,89.6,2.55,75.21,91.09,4.18,2329.17,21.38,2.21,0,4,31828711,22309829795,13674389,9584845941,12724983854
2024-02-01,2024,2,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,735.0,674.83,91.81,93.89,91.02,2.58,75.96,90.77,4.06,2284.43,4.56,2.11,0,1,31333301,21144695319,13495624,9107271060,12037424259
2024-03-01,2024,3,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,793.8,728.0,91.71,92.66,90.97,2.5,74.83,90.35,4.17,2286.05,9.5,2.08,0,2,31048777,22603512335,13601206,9901678936,12701833399
2024-04-01,2024,4,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,803.6,737.46,91.77,92.89,90.87,2.51,75.8,90.89,4.16,2324.36,14.06,1.92,0,2,30043554,22155995258,13481129,9941827638,12214167620
2024-05-01,2024,5,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,833.0,764.43,91.77,93.41,89.77,2.57,75.42,91.05,4.15,2303.08,3.38,1.84,0,2,30869931,23597923474,13592621,10390617111,13207306363
2024-06-01,2024,6,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,842.8,772.65,91.68,92.17,90.26,2.48,74.51,90.71,4.08,2295.89,17.41,1.74,0,3,31637217,24444496443,13419100,10368267818,14076228625
2024-07-01,2024,7,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,862.4,790.52,91.67,91.91,90.28,2.45,74.47,90.29,4.23,2304.12,21.76,2.15,0,2,30077305,23776735646,13687660,10820379850,12956355796
2024-08-01,2024,8,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,872.2,800.28,91.75,92.91,90.53,2.47,75.48,90.93,4.18,2330.05,7.14,1.74,0,3,30410122,24336501665,13372060,10701344006,13635157659
2024-09-01,2024,9,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,852.6,781.8,91.7,92.01,89.1,2.41,74.99,91.0,4.09,2304.46,20.92,1.79,0,4,30299306,23688015937,13382089,10462125413,13225890525
2024-10-01,2024,10,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,813.4,745.6,91.67,91.26,88.06,2.51,74.91,90.92,4.07,2312.2,25.48,1.78,0,0,31961856,23830911071,13860047,10334116289,13496794782
2024-11-01,2024,11,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,803.6,737.21,91.74,92.24,90.44,2.53,75.65,90.53,4.11,2298.23,16.14,1.9,0,4,30292900,22332337328,13833394,10198165629,12134171699
2024-12-01,2024,12,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,823.2,755.12,91.73,92.73,89.15,2.51,75.14,90.98,4.24,2281.28,15.9,2.0,0,0,31238704,23588891116,13560637,10239874032,13349017083
2025-01-01,2025,1,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,780.0,738.18,94.64,93.55,91.38,2.56,76.13,90.34,4.17,2290.5,5.14,1.9,0,2,34049885,25134978162,13336270,9844581179,15290396983
2025-02-01,2025,2,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,750.0,709.41,94.59,92.6,89.11,2.5,75.85,91.16,4.06,2256.29,18.56,1.63,0,3,33703110,23909482850,13549089,9611923377,14297559473
2025-03-01,2025,3,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,810.0,774.18,95.58,94.02,90.79,2.55,75.67,91.25,4.04,2268.99,4.14,1.74,0,1,33201931,25704126007,13377052,10356187729,15347938278
2025-04-01,2025,4,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,820.0,783.55,95.56,93.88,91.56,2.55,75.36,90.44,4.06,2284.88,2.0,1.86,0,2,33814698,26495573664,13275775,10402259889,16093313776
2025-05-01,2025,5,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,850.0,820.12,96.48,92.32,89.61,2.54,76.11,90.95,4.05,2267.04,11.77,1.7,0,3,33210444,27236430683,13465756,11043487315,16192943368
2025-06-01,2025,6,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,860.0,829.69,96.48,93.74,90.85,2.52,75.0,91.24,4.15,2314.92,4.98,1.82,0,3,32962266,27348613826,13313882,11046455709,16302158117
2025-07-01,2025,7,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,880.0,856.66,97.35,91.12,87.27,2.47,75.45,90.66,4.04,2310.48,19.66,1.66,0,1,34428685,29493803521,13499026,11564124764,17929678756
2025-08-01,2025,8,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,890.0,866.61,97.37,92.54,89.53,2.5,74.91,90.73,4.14,2295.83,17.99,2.09,0,2,32604335,28255168216,13643414,11823487342,16431680874
2025-09-01,2025,9,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,870.0,838.74,96.41,92.06,88.71,2.51,74.89,90.3,4.18,2285.49,13.58,1.63,0,4,33368562,27987650751,13535330,11352664142,16634986610
2025-10-01,2025,10,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,830.0,759.49,91.5,89.06,85.8,2.38,73.56,90.72,4.42,2320.25,51.0,1.92,0,4,34269048,26027045506,13954469,10598298873,15428746633
2025-11-01,2025,11,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,820.0,711.65,86.79,89.21,86.09,2.39,73.43,88.84,4.35,2408.11,59.33,1.87,0,4,33619921,23925680949,14057917,10004343292,13921337657
2025-12-01,2025,12,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,840.0,696.61,82.93,89.56,86.81,2.32,71.44,88.43,4.57,2418.01,58.51,1.64,0,6,34343880,23924368464,14154379,9860114504,14064253960
